Etikett:;Liedtitel:;Komponist:;Nummer:;letzte Auff�hrung:;;
Weltliche Chorliteratur;Lockendes Venezia�.;Otto Groll;Rosa 113;;;
Geistliche Chorliteratur;Locus iste;;Gelb 21;;;
Weltliche Chorliteratur;Luegit vo B�rg unTal (Schweiz) 2019;;Rosa 117;;;
Weihnachtliche Chorliteratur ;Luleise Gottes Sohn;Manfred B�hler;Blau 76;Dezember 21;;
Weltliche Chorliteratur;Ma come bali bella bimba..;Arr.Jan Vermulst;Rosa 65;;;
Weihnachtliche Chorliteratur ;Macht hoch die T�r....;Friedrich Silcher;Blau 27;Dezember 18;;
Weltliche Chorliteratur;M�dchen aus Muntenia  ;H.Ophoven;Extrabox;;;
Weltliche Chorliteratur;M�rchen:Liebes, gutes Gro�m�tterlein�.;Karl Komzak;Rosa 66;;;
Weltliche Chorliteratur;Marmor, Stein und Eisen bricht;Christian Br�hn;Rosa 110;;;
Weltliche Chorliteratur;Mein kleiner gr�ner Kaktus�.;R.Wittemeier;Rosa 67;;;
Geistliche Chorliteratur;Meine Zeit steht in deinen H�nden;;Gelb 22;;;
Weltliche Chorliteratur;Metronom-Kanon;L.v.Beethoven;Rosa 68;;;
Weltliche Chorliteratur;Mir geht�s gut......;S. Mo�mann;Rosa 70;;;
Weltliche Chorliteratur;Mit 66 Jahren ,da f�ngt das Leben an;Udo J�rgens;Rosa 112;;;
Weltliche Chorliteratur;Mit Musik geht alles besser;W .Bockmann;Rosa 69;;;
Weltliche Chorliteratur;Morgenwanderung ;Gustav Klauer;Rosa 71;;;
Weltliche Chorliteratur;Musica begleite unser Leben;;Rosa 122;;;
Geistliche Chorliteratur;N�her mein Gott zu dir;Richard Arnold;Gelb 28;;;
Weihnachtliche Chorliteratur ;Nun kommet alle zur Krippe�.2019;;;Dezember 19;;
Weihnachtliche Chorliteratur ;Nun singet und seid froh.......;Michael Praetorius;Blau 59;Dezember 18;;
Weihnachtliche Chorliteratur ;O du fr�hliche, o du selige..Stille, Heilige Nacht...;Josef Michel;Blau 28;Dezember 24;;
Geistliche Chorliteratur;O Herr, gib Frieden    (TEBE POEM);Dimitri Bortnjanski;Gelb 25;Dezember 24;;
Weltliche Chorliteratur;O sole mio, mein Sonnenschein�(2017);;Rosa 104;;;
Weltliche Chorliteratur;O T�ler weit, o H�hen...;F.Mendelsohn-Barth.;Rosa 72;;;
Weihnachtliche Chorliteratur ;OH  NUIT viens apporter � la Terre�..2023;J.P.RAMEAU;Blau 87;Dezember 24;;
Geistliche Chorliteratur;Panis Angelicus;;Gelb 23;;;
Weihnachtliche Chorliteratur ;Psalite uni genito;;Blau 29;;;
Weihnachtliche Chorliteratur ;Quem Pastores laudavere .....2015;Carl Loewe;Blau 30;;;
Weltliche Chorliteratur;Rot ist der Wein(Spanische Augen);Dt.Text: C.U.Blecher;Rosa 74;;;
Weltliche Chorliteratur;Sag beim Abschied leise Servus;;Rosa 76;;;
Weltliche Chorliteratur;Salzburger Nockerln                                                                                                                          ;;Rosa 77;;;
Weltliche Chorliteratur;Samba Brasil;;Rosa 129;;;
Weltliche Chorliteratur;Samba ole kleiner Chicco;;Rosa 102;;;
Weltliche Chorliteratur;Samba ole kleiner Chico;L.Meierhofer;Rosa 102;;;
Weihnachtliche Chorliteratur ;Sancta Lucia�..2019;Italien (trad.);Blau 61;Dezember 24;;
Geistliche Chorliteratur;Sancta Maria / Lob und Dank dem Herrn;Johannes Schweitzer;Gelb 24;;;
Weltliche Chorliteratur;Scheint der Mond durchs Fenster;G.Gunsenheimer;Rosa 79;;;
